Substrates	Concentration	Strain_Media	Growth_Status	Temperature	References
L-Tryptophan	12± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Tryptophan	24± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Tryptophan	21± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
L-Tryptophan	9± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
L-Tryptophan	14± 1 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
trans-Cinnamic acid	90± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
trans-Cinnamic acid	136± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
trans-Aconitic acid	96± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
trans-Aconitic acid	72± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
dCTP	34± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
dCTP	17± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Adenosine phosphosulfate	7± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Succinyl-CoA	233± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Succinyl-CoA	1440± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Succinyl-CoA	390± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Deoxyribose 5-phosphate	303± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
2'-Deoxyguanosine 5'-monophosphate	51± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
2-Aminobenzoic acid	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
2-Aminobenzoic acid	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
2-Aminobenzoic acid	3± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
2-Aminobenzoic acid	5± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Malonyl-CoA	35± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenosine diphosphate ribose	26± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
S-Adenosylmethionine	184± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
S-Adenosylmethionine	1100± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
S-Adenosylmethionine	388± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
S-Adenosylmethionine	44± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
FADH2	38± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Guanosine diphosphate	30± 2 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
Guanosine diphosphate	676± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine diphosphate	23± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine diphosphate	18± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine diphosphate	180± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Acetyl-CoA	606± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Acetyl-CoA	734± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Acetyl-CoA	628± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Acetyl-CoA	63± 0 uM	W31104.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose	Stationary PhaseBioreactor, pH controlled, aerated	37 oC	Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.
Acetyl-CoA	300± 19 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
Acetyl-CoA	130± 40 uM	BW25113M9 Minimal Media, 4 g/L Glucose	Mid-Log PhaseBioreactor, pH controlled, O2 controlled, dilution rate: 0.2/h	37 oC	PMID: 15158257
Acetyl-CoA	8± 0 uM	W31104.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose	Mid Log PhaseBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.
FAD	60± 2 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
FAD	173± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
FAD	209± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
FAD	49± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glucosamine 6-phosphate	340± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Glucosamine 6-phosphate	1150± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glucosamine 6-phosphate	378± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Glucosamine 6-phosphate	316± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Spermidine	2720± 0 uM	K12 HB101199 Medium with Earle’s salts –which contains 21 amino acids, 17 vitamins, 10 components of nucleic acids, sodium acetate, glucose, NaC1, KCl, CaC12, MgS04, Na2HP04, and Fe(N03)3	Mid Log PhaseShake flask	37 oC	PMID: 8742354
Spermidine	130± 0 uM	K12 HB101199 Medium with Earle’s salts –which contains 21 amino acids, 17 vitamins, 10 components of nucleic acids, sodium acetate, glucose, NaC1, KCl, CaC12, MgS04, Na2HP04, and Fe(N03)3	Stationary PhaseShake flask	37 oC	PMID: 8742354
Guanosine triphosphate	390± 24 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
Guanosine triphosphate	4870± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine triphosphate	2690± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine triphosphate	1250± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Guanosine triphosphate	589± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
dTDP	378± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Propionyl-CoA	5± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
N1-Acetylspermidine	430± 0 uM	K12 HB101199 Medium with Earle’s salts –which contains 21 amino acids, 17 vitamins, 10 components of nucleic acids, sodium acetate, glucose, NaC1, KCl, CaC12, MgS04, Na2HP04, and Fe(N03)3	Mid Log PhaseShake flask	37 oC	PMID: 8742354
N1-Acetylspermidine	30± 0 uM	K12 HB101199 Medium with Earle’s salts –which contains 21 amino acids, 17 vitamins, 10 components of nucleic acids, sodium acetate, glucose, NaC1, KCl, CaC12, MgS04, Na2HP04, and Fe(N03)3	Stationary PhaseShake flask	37 oC	PMID: 8742354
Zinc	4000± 0 uM	K-12Not Available	Not AvailableNot Available	Not Available	1. Cybercell Database: http://ccdb.wishartlab.com/CCDB/cgi-bin/STAT_NEW.cgi, 2. Phillips R., Kondev, J., Theriot, J. (2008) “Physical Biology of the Cell” Garland Science, New York, NY.
6-Phosphogluconic acid	310± 0 uM	W31104.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose	Mid Log PhaseBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.
6-Phosphogluconic acid	450± 32 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
6-Phosphogluconic acid	380± 70 uM	BW25113M9 Minimal Media, 4 g/L Glucose	Mid-Log PhaseBioreactor, pH controlled, O2 controlled, dilution rate: 0.2/h	37 oC	PMID: 15158257
6-Phosphogluconic acid	3770± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
6-Phosphogluconic acid	400± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
6-Phosphogluconic acid	193± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Manganese	4000± 0 uM	K-12Not Available	Not AvailableNot Available	Not Available	1. Cybercell Database: http://ccdb.wishartlab.com/CCDB/cgi-bin/STAT_NEW.cgi, 2. Phillips R., Kondev, J., Theriot, J. (2008) “Physical Biology of the Cell” Garland Science, New York, NY.
ADP	400± 26 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
ADP	555± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
ADP	149± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
ADP	189± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
